ts,p0,p1,p2,p3
0.1900100,0.0000000,177.8118799,116.5112395,100.8715811
0.2049450,0.0000000,177.6989226,116.3799547,100.5747095
0.2317130,0.0000000,177.5272663,116.2132325,100.4794152
0.2567790,0.0000000,177.3732191,116.2355614,100.3462308
0.2848780,0.0000000,177.3423165,116.2231002,100.3827405
0.3154270,0.0000000,177.2533573,116.0027707,100.1341670
0.3467250,0.0000000,177.2416864,115.7869648,100.2915933
0.3940630,0.0000000,177.2494271,115.6862266,100.1921072
0.4215610,0.0000000,177.3116759,115.7394549,100.2468295
0.5048290,0.0000000,177.3514278,115.7190801,100.5043973
0.5412490,0.0000000,177.6119945,115.8612499,100.7860568
0.6092790,0.0000000,177.5495327,115.6920687,100.6729730
0.6602180,0.0000000,177.6479155,115.7714712,100.7437868
0.6751690,0.0000000,177.7748298,115.8367970,100.8926608
0.6919440,0.0000000,178.3081628,116.5600443,101.3140527
0.7226840,0.0000000,178.5307177,116.8570709,101.5656436
0.7554740,0.0000000,178.7848508,117.1197016,101.7742286
0.7865180,0.0000000,179.4924816,117.7082101,102.3203599
0.8145360,0.0000000,179.9030125,118.0285522,102.7571568
0.8436740,0.0000000,180.3678083,118.5130189,103.1031245
0.8744720,0.0000000,180.6200590,118.6654340,103.2073110
0.9042830,0.0000000,180.7010222,118.8485166,103.0910995
0.9324310,0.0000000,180.9360353,119.0712271,103.4333275
0.9651920,0.0000000,180.8869634,119.1613358,103.4091697
1.0001400,0.0000000,180.7483945,119.0045978,103.2294160
1.0355950,0.0000000,180.7534804,119.0248740,103.1424829
1.0723540,0.0000000,180.6643306,118.8674431,102.7705756
1.1100930,0.0000000,180.5323274,118.5676776,102.8989707
1.1643630,0.0000000,180.3814956,118.5424340,102.7038445
1.2108520,0.0000000,180.5371671,118.5009126,102.8414802
1.2753340,0.0000000,180.3725775,118.3281771,102.4650638
1.3207460,0.0000000,180.2172241,118.2120539,102.3620151
1.3390420,0.0000000,180.1982117,118.1640140,102.2854367
1.3698690,0.0000000,180.2746489,118.2644519,102.2988389
1.3969970,0.0000000,180.2588188,118.2362846,102.4840861
1.4260030,0.0000000,180.2803577,118.2992431,102.2172067
1.4541120,0.0000000,180.2240609,118.1404354,102.3072072
1.4863810,0.0000000,180.2157396,118.1495869,102.4760177
1.5222870,0.0000000,180.2072489,118.2001510,102.4558520
1.5530320,0.0000000,180.2767640,118.1571175,102.5792346
1.5961820,0.0000000,180.0921723,118.1902385,102.4793208
1.6262200,0.0000000,180.2663064,118.3876922,102.5911467
1.6564060,0.0000000,180.2291247,118.5214789,102.5264839
1.6928420,0.0000000,180.2659874,118.5977610,102.5587673
1.7253590,0.0000000,180.5671367,118.9621758,102.7473936
1.7605560,0.0000000,180.3857835,119.0262501,102.8920775
1.8388470,0.0000000,180.6809953,119.1995882,102.9881990
1.8664160,0.0000000,180.6175094,119.1291832,103.1452710
1.9412650,0.0000000,180.7352636,119.1748121,103.0325985
1.9636980,0.0000000,180.6034195,119.1061723,102.6044045
1.9838280,0.0000000,180.4086963,118.9390054,102.2494982
2.0150110,0.0000000,180.5027144,118.6952756,102.2450067
2.0337720,0.0000000,180.1851889,118.3426070,102.1113347
2.0628410,0.0000000,180.0671301,118.0866543,102.3741217
2.0963230,0.0000000,180.0956454,118.0850654,102.3583702
2.1266730,0.0000000,179.9066507,117.9950449,102.0294564
2.1574780,0.0000000,180.0439344,118.1507925,102.0852024
2.1910260,0.0000000,179.9515443,117.9530210,101.8970316
2.2301500,0.0000000,179.8259827,117.8577993,101.7614255
2.2652870,0.0000000,179.8145944,117.6813544,101.8694858
2.2952360,0.0000000,179.8182750,117.8118733,101.7301008
2.3239350,0.0000000,179.8369977,117.7195633,101.7462359
2.3540790,0.0000000,179.9237903,117.7350734,101.8943734
2.3881030,0.0000000,179.6474761,117.8464920,101.9629593
2.4681130,0.0000000,179.5943300,117.6451259,101.6715827
2.5276280,0.0000000,179.7110506,117.7101757,101.4727173
2.6082170,0.0000000,179.5851406,117.5765305,101.4622526
2.6333080,0.0000000,179.7716356,117.8590029,101.8236411
2.6717410,0.0000000,179.9326483,118.0382663,102.0073149
2.6935310,0.0000000,179.6065959,117.9559353,101.5187168
2.7345460,0.0000000,179.4844301,118.1089017,101.5658438
2.7507290,0.0000000,179.4870738,118.3070064,101.6128887
2.7862210,0.0000000,179.5629737,118.3302649,101.7691172
2.8000470,0.0000000,179.4930407,118.2419307,101.7493639
2.8395910,0.0000000,179.4618524,118.1565719,101.7141542
2.8800550,0.0000000,179.4536208,118.0382545,101.4488824
2.9136480,0.0000000,179.5840320,117.9325992,101.3414591
2.9281590,0.0000000,179.3821909,117.6581054,101.2953644
2.9556530,0.0000000,179.2185791,117.4375094,101.2002157
2.9857190,0.0000000,179.2352780,117.3425109,101.1076577
3.0145090,0.0000000,179.2908777,117.3420546,101.1272418
3.0553270,0.0000000,179.1572348,117.1094035,100.9885115
3.1460240,0.0000000,179.2271512,117.1642716,101.1778922
3.1966660,0.0000000,179.1916838,117.0059831,101.2745456
3.2498550,0.0000000,179.2493914,117.1120341,101.3797465
3.2945490,0.0000000,179.0721255,117.0429031,101.2099889
3.3127930,0.0000000,179.0299439,117.1372889,101.2129790
3.3460410,0.0000000,179.1056462,117.2820326,100.9498369
3.3608450,0.0000000,179.3337572,117.3974417,101.3008428
3.3922590,0.0000000,179.4307021,117.5247537,101.3779274
3.4064120,0.0000000,179.3085125,117.5471286,101.4510148
3.4388440,0.0000000,179.5439296,117.8145360,101.7743825
3.4729450,0.0000000,179.3772055,117.5911104,101.5143529
3.5098850,0.0000000,179.3978441,117.6496407,101.1950294
3.5404390,0.0000000,179.5382600,117.7935448,101.6341052
3.5658740,0.0000000,179.3981765,117.7525745,101.5498317
3.5981950,0.0000000,179.4894601,117.9389965,101.6023969
3.6328850,0.0000000,179.4557607,117.9785613,101.5563829
3.6766590,0.0000000,179.5469541,117.9803460,101.6594134
3.7389100,0.0000000,179.5834717,117.8360998,101.4072481
3.7565650,0.0000000,179.2980844,117.4824175,101.0723186
3.7888660,0.0000000,179.4530456,117.3775630,101.0531007
3.8280880,0.0000000,179.0538286,117.0619707,100.8148167
3.8580300,0.0000000,179.3229865,117.0918352,100.8957840
3.8892590,0.0000000,179.3425538,116.9663372,101.0883302
3.9204630,0.0000000,179.2889795,117.0107235,101.2666264
3.9505850,0.0000000,179.5064564,117.0651454,101.3917065
3.9795330,0.0000000,179.4860681,117.0101507,101.4014871
4.0122900,0.0000000,179.4068936,116.8634980,101.4214518
4.0448290,0.0000000,179.2114996,116.8321039,101.3240451
4.0751690,0.0000000,179.1236220,116.9018221,101.2032489
4.1048510,0.0000000,179.1675088,116.9654118,101.2023497
4.1343680,0.0000000,179.3278894,117.0465578,101.4755528
4.1706440,0.0000000,179.2048720,117.0324800,101.2954568
4.2522470,0.0000000,179.1587720,117.1068190,101.2909469
4.3325350,0.0000000,179.1120811,117.1451142,100.9701872
4.3636530,0.0000000,179.1321330,117.1863510,101.2506170
4.4145840,0.0000000,179.3352910,117.3105639,101.4082373
4.4346970,0.0000000,179.2496981,117.2795834,101.2451449
4.4702460,0.0000000,179.2965084,117.3192896,101.4484838
4.4869800,0.0000000,179.2904350,117.4124602,101.5289778
4.5204580,0.0000000,179.4046403,117.5014406,101.6150230
4.5516860,0.0000000,179.4336927,117.6263667,101.6403487
4.5816260,0.0000000,179.4684805,117.5032528,101.6328357
4.6136140,0.0000000,179.3107712,117.2281922,101.1406827
4.6468550,0.0000000,179.3618913,116.8562565,101.2888039
4.6822750,0.0000000,179.3431387,116.8148148,101.1833562
4.7139510,0.0000000,179.3477984,116.7295525,101.5302056
4.7891650,0.0000000,179.4653711,116.7361969,101.4872057
4.8285570,0.0000000,179.5939542,116.7213532,101.5410857
4.8468670,0.0000000,179.5139626,116.6653076,101.5740442
4.8805310,0.0000000,179.4359940,116.7333147,101.4538816
4.9186130,0.0000000,179.3134674,116.6622963,101.2305244
5.0224690,0.0000000,179.4243598,116.6552937,101.1274302
5.0812120,0.0000000,179.5473887,116.6403128,101.4113286
5.1032500,0.0000000,179.7390571,116.6989396,101.7066564
5.1273870,0.0000000,179.8391251,116.8421147,101.5622189
5.1582100,0.0000000,179.7909887,116.9410998,101.7405430
5.1717980,0.0000000,179.5930313,116.9579834,101.7265858
5.1867300,0.0000000,179.7344703,117.1600327,101.6821559
5.2005900,0.0000000,179.7587727,117.1923244,101.7584924
5.2300730,0.0000000,179.8029484,117.1449194,101.9453938
5.2437390,0.0000000,179.7223268,117.2526452,101.9119951
5.2763210,0.0000000,179.7199156,117.2851662,101.8619270
5.3078290,0.0000000,179.9091349,117.5594774,102.2690809
5.3376660,0.0000000,179.8116959,117.6082717,102.1836187
5.3684190,0.0000000,179.8306405,117.5009735,101.9661938
5.4000800,0.0000000,179.9692794,117.6834893,102.1651833
5.4352660,0.0000000,179.7311054,117.4888603,101.8444226
5.4671130,0.0000000,179.4696893,117.1101307,101.2339928
5.5118680,0.0000000,179.4877956,117.0228169,101.2820396
5.5653080,0.0000000,179.1823051,116.7808347,101.1420848
5.5840010,0.0000000,179.1493627,116.6472973,101.2421631
5.6188420,0.0000000,178.9776929,116.5087888,101.1926958
5.6501510,0.0000000,178.9777349,116.3201552,100.9230106
5.6828810,0.0000000,178.9052709,115.9929924,100.6492400
5.7158280,0.0000000,178.9300202,116.0745207,100.5602170
5.7467880,0.0000000,179.0885932,116.1562224,100.6400333
5.7776590,0.0000000,179.0342523,116.1880344,100.7610412
5.8072470,0.0000000,179.0813082,116.2284002,100.8770346
5.8387770,0.0000000,179.1864126,116.2897994,100.9132836
5.8759510,0.0000000,179.0461850,116.2297487,100.9088815
5.9100100,0.0000000,179.0581871,116.4421869,101.2641853
5.9441530,0.0000000,179.1808867,116.4977508,100.9351227
5.9834460,0.0000000,179.2016545,116.5653701,100.9053647
6.0232010,0.0000000,179.2848645,116.5791762,101.0689293
6.0771500,0.0000000,179.2497805,116.5214065,101.1646811
6.1536440,0.0000000,179.1298370,116.5806419,100.8988101
6.2263770,0.0000000,178.9864040,116.6054434,100.8772380
6.2641060,0.0000000,178.8378715,116.4606024,100.7932875
6.2817510,0.0000000,178.9694818,116.6665919,101.1971599
6.3022840,0.0000000,178.8518454,116.6666333,101.0362573
6.3189510,0.0000000,178.9299761,116.8564174,101.2168177
6.3531560,0.0000000,178.8255270,116.7201173,100.9014270
6.3694170,0.0000000,178.8199930,116.5691931,100.9092341
6.3847400,0.0000000,178.8584060,116.4268052,100.9237455
6.4162780,0.0000000,178.8608588,116.2614777,100.8898644
6.4465060,0.0000000,178.7776913,116.2219320,100.9090521
6.4808540,0.0000000,178.7606169,116.1420449,100.5972376
6.5151460,0.0000000,178.8393678,116.1674999,100.7251174
6.5479370,0.0000000,178.7943311,115.9965231,100.6904510
6.5791850,0.0000000,178.7544598,116.1063294,100.8373564
6.6102550,0.0000000,178.9395553,116.1172215,100.9802035
6.6431750,0.0000000,178.8539196,116.0307102,100.5691043
6.6736490,0.0000000,178.8731415,115.9902049,100.4829717
6.7122930,0.0000000,178.8468204,116.1281897,100.4833484
6.7741430,0.0000000,178.8379888,116.0649001,100.4897831
6.8296970,0.0000000,178.8586211,116.1834484,100.5366319
6.8551210,0.0000000,178.9713785,116.3884413,100.8081561
6.9192790,0.0000000,179.1200080,116.4120709,100.9957211
6.9372130,0.0000000,179.0693942,116.5040687,101.0583434
6.9539500,0.0000000,179.1213049,116.6834128,100.9381681
6.9695160,0.0000000,179.0041041,116.6328684,100.7776715
7.0021160,0.0000000,179.0330419,116.7621237,100.9624604
7.0357700,0.0000000,179.2301623,116.9740824,101.0983521
7.0663830,0.0000000,179.2447018,117.0739622,100.9640299
7.0978930,0.0000000,179.3059690,117.1465444,101.2407407
7.1321210,0.0000000,179.1049635,117.0521073,100.9994757
7.1630300,0.0000000,179.0429868,116.8475035,101.0792310
7.1944550,0.0000000,178.8006769,116.5403535,100.6582424
7.2264030,0.0000000,178.9364322,116.5515075,100.8481910
7.2563670,0.0000000,178.5419711,116.1961080,100.6216196
7.2871220,0.0000000,178.6629667,116.3118517,100.7413430
7.3365980,0.0000000,178.8553844,116.2202588,100.8086895
7.3996050,0.0000000,178.7869210,116.1677168,100.6096649
7.4173240,0.0000000,178.7976980,116.1214521,100.4172780
7.4368460,0.0000000,178.7453608,115.9601305,100.3548061
7.4721710,0.0000000,178.8625333,116.1353062,100.4103904
7.5061080,0.0000000,179.0831360,116.4543004,100.8151358
7.5415390,0.0000000,179.2467032,116.5543628,101.0828767
7.5729070,0.0000000,180.1046464,117.2110176,101.8945166
7.6089080,0.0000000,180.2034843,117.9868963,102.7984988
7.6253080,0.0000000,180.7302768,118.7669506,104.0260624
7.6610150,0.0000000,181.0183691,119.5955567,104.5230731
